name;price;categoryId;description
Audífonos APPLE AirPods Pro 2.ª Generación;305;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Los AirPods Pro 2.ª Generación se sometieron a un re diseño radical para alcanzar una calidad de audio todavía mejor. La Cancelación Activa de Ruido mejorada y el modo Ambiente adaptable reducen aún más el ruido exterior. El audio espacial lleva la experiencia del sonido inmersivo a un nivel mucho más personal. El control táctil en la parte inferior facilita la reproducción. Simplemente desliza hacia arriba o hacia abajo para ajustar el volumen.
Audífonos APPLE AirPods Pro Blanco;240.9;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Magia como nunca la has escuchado: Los AirPods Pro han sido diseñados para ofrecer cancelación activa de ruido para un sonido envolvente, modo de transparencia para que pueda escuchar su entorno y un ajuste personalizable para la comodidad durante todo el día. Los AirPods Pro se conectan mágicamente a sus dispositivos Apple. Y están listos para usar nada más sacarlos del estuche.
Audífonos SAMSUNG Galaxy Buds Live Negros;43.8;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Los Buds Live Negros son diseñados para que sintonices cada momento| Gracias a su forma icónica y su diseño ergonómico se adaptan de forma natural al entorno, y su altavoz optimizado te permite disfrutar una mejor experiencia. Este sonido está hecho para tus oídos.
Audífonos APPLE AirPods con Estuche de Carga Blanco;142.4;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Los nuevos AirPods te brindan una experiencia unica. Sólo sácalos del estuche de carga y estarán listos para que los uses con tu iPhone, Apple Watch, iPad o Mac. Los AirPods son casi mágicos. Se configuran con un simple toque, se activan automáticamente y se mantienen siempre conectados. Saben cuándo están en tus oídos y se detienen cuando te los quitas.
Audífonos de Diadema SONY Inalámbricos Bluetooth Over Ear WH-1000XM4 Cancelación de Ruido Negro;230;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Los WH-1000XM4 son los audífonos con el sistema líder en cancelación de sonido, ya que cuentan con micrófonos que filtran el sonido externo y cuentan con el procesador QN1 para digitalmente aumentar la cancelación de sonido. Cuenta con una calidad de sonido excepcional y funciones de escucha inteligente que se ajustan al entorno y lo que estés haciendo, además de tener modos inteligentes de uso y larga duración de bateria.
Audífonos de Diadema SONY Inalámbricos Bluetooth Over Ear WH-1000XM5 Cancelación de Ruido Negro;404.4;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Mantente siempre conectado con tu mundo y el que te rodea| Nuestros Audífonos Inalámbricos Bluetooth WH-1000XM5 Negros ultracómodos redefinen el audio sin distracciones y la claridad en las llamadas. Estos audífonos ligeros cuentan con un acabado espectacular de “cuero suave y adaptable”. Este material se ajusta a la cabeza para ejercer menos presión en las orejas y bloquear los sonidos externos. El diseño sin ruido con control deslizante, giro fluido y gancho, hace que los WH-1000XM5 sean cómodos para que los puedas usar durante todo el día. 
Audífonos REDMI Inalámbricos Bluetooth In Ear Buds Essential Negro;24;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;La música lo es todo, la diversión se oye y tus películas y series favoritas se sienten, por eso prescindir de ello no es una opción. Así es como Xiaomi hace de un producto tan pequeño como los Redmi buds essential tu primera conexión de audio con calidad a un precio inigualable. Batería de hasta 18 horas, con conexión bluetooth 5.2 y resistencia al agua IP X4, características que complementan su funcionalidad.
Audífonos Apple EarPods con Conector Lightning Blanco;24;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;A diferencia de los audífonos circulares tradicionales, el diseño de los EarPods está definido por la geometría del oído. Esto los hace más cómodos de usar que cualquier otro audífono similar. Las bocinas del interior de los EarPods han sido diseñadas para mejorar la calidad del sonido y minimizar su pérdida. ¿El resultado? Un audio de alta calidad. Los EarPods con conector Lightning también incluyen un control remoto integrado que te permite ajustar el volumen, controlar la reproducción de música y videos, y responder o finalizar llamadas con sólo tocar el cable.
Audífonos APPLE AirPods 3.ª Generación con Estuche de Carga Lightning;219;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Prepárate para una experiencia llena de magia con los AirPods de Tercera Generación | Con audio espacial personalizado para un sonido envolvente y un ecualizador adaptativo que sintoniza la música en tus oídos, Una batería de mayor duración que se carga a toda velocidad batería, cuenta con clasificación IPX4 de resistencia al agua y al sudor. Son más compactos, tienen un ajuste anatómico y dirigen el sonido directamente a tus oídos con un diseño sofisticado que dará de que hablar.
Audífonos de Diadema SONY Inalámbricos Bluetooth Over Ear WH-CH510 Negro;37.2;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Experiencia de sonido ligera todo el día con sonido de calidad: Disfruta de tu música y podcasts favoritos durante más tiempo con los audífonos WH-CH510 de Sony. Con un diseño liviano y hasta 35 horas de escucha sin interrupciones, no tendrás que preocuparte por quedarte sin batería mientras te desplazas. 
Audífonos REDMI Inalámbricos Bluetooth In Ear Buds Essential Azul;24;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;La música lo es todo, la diversión se oye y tus películas y series favoritas se sienten, por eso prescindir de ello no es una opción. Así es como Xiaomi hace de un producto tan pequeño como los Redmi buds essential tu primera conexión de audio con calidad a un precio inigualable. Batería de hasta 18 horas, con conexión bluetooth 5.2 y resistencia al agua IP X4, características que complementan su funcionalidad. 
Audífonos JBL Inalámbricos Bluetooth In Ear TWS W300 Negro;76.6;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;No pierdas el contacto con tu mundo. Los Audífonos JBL Wave 300TWS Negros ofrecen tu música sin cables y sin perder el contacto con lo que te rodea. Disfruta de 26 horas de sonido potente con JBL Deep Bass. Mantén el contacto vayas donde vayas con llamadas estéreo y sin molesto ruido de fondo. Gestiona el audio y las llamadas con la función manos libres desde cualquiera de los auriculares o ambos, gracias a los cómodos controles táctiles.
Audífonos HUAWEI Inalámbricos Bluetooth In Ear Freebuds SE Blanco;54.7;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Escucha tu música preferida o atiende las llamadas de tu celular con los Audífonos Huawei Freebuds SE Blanco con su novedoso diseño semi In-Ear, desarrollado para la máxima comodidad cuando es portado. Contrólalos con su conveniente sistema de gestos táctiles, y toma ventaja de la capacidad de carga de su estuche que los puede recargar hasta 4 veces sin necesidad de que este estuche sea recargado. Constan de un diseño de estructura avanzada para reducir el ruido exterior y disfrutar del momento. El estuche es totalmente práctico y ergonómico. La comodidad de los auriculares reduce radicalmente la presión de los oídos, gracias a su peso ultra ligero.
Audífonos XIAOMI REDMI Inalámbricos Bluetooth InEar Buds 3 Pro Gris;61.3;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El sonido que quieres: Los Redmi Buds 3 Gris te sumergirán en una experiencia auditiva mejorada y disfruta tus contenidos favoritos como tú quieras sin perder tu conexión con el exterior, dado que incorporan un sistema de cancelación de ruido que permite reducir el ruido exterior haciendo que te puedas desconectar del mundo cuando lo desees o simplemente disfrutar de un mundo con menos ruido de fondo.
Audífonos SONY Inalámbricos Bluetooth In Ear Manos Libres WI-XB400 Negro;35;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Audífono Bluetooth Sony de incersion, ideal para usar como manos libres y asistente de voz, con gran calidad de sonido y duracion de bateria. Se pueden transportar de forma cómoda y ofrecen un sonido profundo y contundente.
Audífonos de Diadema JBL Inalámbricos Bluetooth OnEar T510BT Negro;54.8;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Los Audífonos JBL Tune 510BT te permiten disfrutar del potente sonido JBL Pure Bass sin nada que te ate. Fáciles de usar, te ofrecen hasta 40 horas de puro placer. Si mientras vez un vídeo en otro dispositivo entra una llamada, los Audífonos JBL Tune 510BT cambian a tu celular sin ningún problema. Con Bluetooth 5.0 habilitado y diseñados para ser cómodos.
Audifonos SAMSUNG Galaxy Buds2 Pro Negros;142.4;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Los Galaxy Buds 2 Pro Negros scuentan con un sistema de audio de alta fidelidad (24 bits) que permitirá escuchar cualquier contenido más claro y preciso, con un sonido estable y de alta calidad. Estos auriculares incluyen micrófonos de precisión que filtran el ruido externo un 40% más que su versión anterior.
