name;price;categoryId;description
Mouse HP Inalámbrico Optico 200-Negro;9.9;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Diseño versatil para manejo con ambas manos, Brinda una conectividad inalambrica de hasta 10 metros, Su sensor optico se puede utilizar en varias superficies
Mouse KLIP XTREME Inalámbrico Óptico Vertical Negro;19.7;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Diseñado para acomodarse perfectamente a la curvatura de la mano de aquéllos que pasan gran parte del día sentados frente al computador. Su forma promueve la operación fluida de los seis botones convenientemente ubicados justo en los puntos donde descansan los dedos. Ofrece una conectividad excepcional a través del adaptador ultra compacto de 2.4 GHz, prácticamente sin interferencias ni retardo al transmitir la señal.
Magic Mouse APPLE Inalámbrico Blanco;100;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El Magic Mouse es inalámbrico y recargable, y tiene una base con un diseño optimizado que te permite moverlo fácilmente por todo el escritorio.
Mouse HP Alámbrico Óptico 100 Negro;6.6;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El Mouse óptico HP 100 está diseñado para usarlo todos los días, durante todo el día.| Es un mouse ambidiestro para la comodidad de cualquier mano y lo puedes instalar fácilmente en cuestión de segundos.
Mouse HP Inalambrico Optico 200-Negro/Plata;11.6;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;Diseño versatil para manejo con ambas manos, brinda una conectividad inalambrica de hasta 10 metros, su sensor optico se puede utilizar en varias superficies, además diseño ergonomico para trabajar comodamente, sin cables solo requiere 2 Pilas AAA para su funcionamiento.
Pad Mouse ESENSES;5.9;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El Pad mouse de Esenses cuenta con un diseño ergonómico proporcionando una excelente superficie para el movimiento del mouse. Cuenta con un soporte en Gel que te ayuda a reducir el estrés de la muñeca, brindando un adecuado movimiento
Mouse ACER inalámbrico Óptico Negro;10.95;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El Mouse ACER AMR800 permite una navegación confiable y receptiva por la pantalla. La forma del Mouse se ha diseñado para que resulte cómodo tanto para usuarios diestros como zurdos. Trabaja sin cables que te sujeten lo que aumenta tu productividad y reduce el esfuerzo. Además de esto tiene un alcance de hasta 10 metros y una potencia de 2.4GHz, con lo que obtendrás una respuesta más rápida.
Mouse LOGITECH G Inalámbrico Gaming USB G502;169;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;G502 X LIGHTSPEED es la última adición a la legendaria gama G502. Rediseñado y reinventado con las tecnologías de juego más innovadoras, entre ellas los flamantes interruptores híbridos LIGHTFORCE, la tecnología inalámbrica LIGHTSPEED de nivel profesional y el sensor HERO 25K. G502 X LIGHTSPEED también es compatible con POWERPLAY y nunca se queda sin energía.
Mouse LOGITECH Inalámbrico Bluetooth Óptico MX Master 3s Negro;159.9;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;El MX Master 3S es un emblemático mouse remasterizado. Siente cada momento de tu flujo de trabajo con más precisión, sensación táctil y desempeño, gracias a los clics silenciosos y un sensor de seguimiento sobre cristal de 8.000 dpi.
Mouse LOGITECH Inalámbrico MX Ergo Trackball Negro;131.4;4bbcc8ad-7af9-4d23-ac82-809baf4fa383;COMODIDAD Y PRECISIÓN, El trackball más avanzado de Logitech para fieles entusiastas y usuarios que busquen alternativas a ratones y touchpads. Requiere un 20% menos de esfuerzo muscular que un ratón estándar. MX ERGO tiene una bisagra ajustable exclusiva para comodidad personalizada, y la tecnología más avanzada para seguimiento, desplazamiento y administración de energía. Logitech FLOW™ permite el control de varios ordenadores sin esfuerzos.
