name;description;price;categoryId
Computador Portátil HP Pavilion 15.6;Portátil HP Pavilion 15-eg0501la. ¡Perfecto para tus momentos más productivos! El mejor desempeño gracias a su potente procesador y gran capacidad de almacenamiento contenido en un espectacular diseño que respeta el medio ambiente.;482.5;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil ACER 15.6;"Acer trae para ti su línea de portátiles Aspire 3, un computador de diseño practico que busca ofrecer a los usuarios un dispositivo que se puede transportar fácilmente. Además incluye una bisagra ergonómica que permite un flujo de aire adicional desde la parte inferior de la laptop.";329;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil ASUS 14 Pulgadas X415JA;"Ya sea para trabajar o jugar, el ASUS X415 plateado es el portátil que ofrece un gran rendimiento y efectos visuales envolventes. Su pantalla NanoEdge cuenta con amplios ángulos de visión de 178° y un revestimiento antirreflejos para una experiencia verdaderamente atractiva. ";438.6;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador All in One HP 21.5 Pulgadas;Desempeño confiable y actualización sencilla. El HP All in One 22-dd2020la combina la potencia de un equipo de escritorio con la belleza de una pantalla moderna y delgada en un dispositivo confiable que está diseñado para crecer contigo. Consigue hacer más con un procesador confiable y mantén actualizado tu computador gracias a un panel posterior fácil de retirar.;482.4;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil LENOVO 14 Pulgadas IdeaPad 3;"En el portátil LENOVO IdeaPad 3, encuentra todo el rendimiento que necesitas, un portátil accesible que cubre tus necesidades, su combinación generosa de memoria Ram y almacenamiento en estado solido, es perfecto para tus tareas diarias, con un diseño extraordinario, este equipo superará tus expectativas. ";394.7;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil ASUS Vivobook X 16 Pulgadas;"Haz que tu mundo brille con ASUS Vivobook 16X plateado, facilita hacer las cosas, en cualquier lugar: todo se ha mejorado, desde su potente procesador AMD Ryzen 5 hasta su bisagra plana de 180°, colores modernos y diseño geométrico elegante. Tiene amplios ángulos de visión y está certificado por TÜV Rheinland para niveles bajos de luz azul, lo que reduce el riesgo de fatiga visual.";679.6;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil HP 14 Pulgadas;"Tecnología revolucionaria en su máxima expresión de desempeño, sonido, visualización, y respetando el medio ambiente, todo esto en la nueva HP Pavilion 14 Laptop. Haz más, donde quieras. Gracias a la tecnología del procesador AMD Ryzen y almacenamiento SSD iniciarás tu laptop y aplicaciones en pocos segundos. ";416.6;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador All In One LENOVO 23.8 Pulgadas;"El Aio LENOVO Idea Centre A340 color negro con su elegante y moderno soporte y su fino bisel, seguramente llamará la atención. Ya sea para trabajar, ver tus videos o hacer una videollamada, solo tienes que recurrir a este impresionante todo en uno. Con un diseño elegante e inteligente podrás disponer de más espacio y quedará genial en cualquier habitación. ";307;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil Gamer ACER 15.6 Pulgadas;"Acer te invita a disfrutar la Nitro 5 diseñada para sacarle el máximo provecho a los procesadores INTEL. Contaras con un sonido más nítido gracias a sus altavoces que pueden emitir un entorno sonoro espacial en 3D, que te permitirá escuchar de dónde vienen tus oponentes con una excelente precisión.";811.4;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
Computador Portátil HP 14 Pulgadas;"Con el portátil HP 14-dq2510la, mantente productivo y entretenido desde cualquier lugar gracias a la batería de larga duración y la pantalla con microbordes. Aprecia más en la pantalla gracias al bisel con microborde de 6,5 mm. Un diseño fino y ligero te permite llevar este portátil a cualquier lugar con facilidad.";383.7;23294ba5-92c7-4fe7-9cf7-c60ee79a9bdd
